index,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2002-04-09,10.51,10.88,10.51,10.66,414108831.0,4418821513.0,600000000.0,0.690181385
1,2002-04-10,10.66,10.7,10.39,10.6,67945475.0,716684277.0,600000000.0,0.11324245833333334
2,2002-04-11,10.6,10.68,10.49,10.52,22788255.0,240963540.0,600000000.0,0.037980425
3,2002-04-12,10.5,10.64,10.48,10.57,21256463.0,224059896.0,600000000.0,0.03542743833333333
4,2002-04-15,10.57,10.6,10.35,10.39,18531104.0,193306921.0,600000000.0,0.030885173333333335
5,2002-04-16,10.35,10.39,10.14,10.16,24925491.0,254942372.0,600000000.0,0.041542485
6,2002-04-17,10.15,10.26,10.09,10.22,11459339.0,116550894.0,600000000.0,0.019098898333333333
7,2002-04-18,10.2,10.2,10.1,10.12,8533279.0,86436774.0,600000000.0,0.014222131666666667
8,2002-04-19,10.1,10.15,9.99,10.14,15722249.0,157784095.0,600000000.0,0.026203748333333332
9,2002-04-22,10.1,10.1,9.99,10.01,6593827.0,66105563.0,600000000.0,0.010989711666666667
10,2002-04-23,10.0,10.09,9.91,10.0,7376544.0,73759692.0,600000000.0,0.01229424
11,2002-04-24,10.0,10.0,9.7,9.77,17241356.0,169554787.0,600000000.0,0.028735593333333333
12,2002-04-25,9.75,9.85,9.74,9.81,9960272.0,97420590.0,600000000.0,0.016600453333333334
13,2002-04-26,9.82,9.89,9.8,9.84,8169213.0,80382992.0,600000000.0,0.013615355
14,2002-04-29,9.84,9.88,9.71,9.85,9036087.0,88537531.0,600000000.0,0.015060145
15,2002-04-30,9.89,10.15,9.8,10.02,18262505.0,182699162.0,600000000.0,0.03043750833333333
16,2002-05-08,10.0,10.03,9.88,9.9,4228358.0,41990478.0,600000000.0,0.007047263333333333
17,2002-05-09,9.89,10.08,9.88,9.94,4470394.0,44552493.0,600000000.0,0.007450656666666666
18,2002-05-10,9.91,9.93,9.8,9.81,4638480.0,45667174.0,600000000.0,0.0077308
19,2002-05-13,9.8,9.8,9.58,9.62,12725497.0,122595409.0,600000000.0,0.021209161666666667
20,2002-05-14,9.6,9.64,9.46,9.48,8239948.0,78664998.0,600000000.0,0.013733246666666667
21,2002-05-15,9.46,9.55,9.28,9.29,9708385.0,91212164.0,600000000.0,0.016180641666666665
22,2002-05-16,9.28,9.28,9.07,9.15,19517141.0,178313622.0,600000000.0,0.032528568333333334
23,2002-05-17,9.18,9.3,9.05,9.25,10010112.0,91833344.0,600000000.0,0.01668352
24,2002-05-20,9.13,9.18,8.93,8.98,11297072.0,101667315.0,600000000.0,0.01882845333333333
25,2002-05-21,9.18,9.25,9.03,9.18,12608352.0,115523918.0,600000000.0,0.02101392
26,2002-05-22,9.19,9.2,8.91,8.94,7338358.0,66043321.0,600000000.0,0.012230596666666666
27,2002-05-23,8.95,9.13,8.94,8.98,7188925.0,64749341.0,600000000.0,0.011981541666666666
28,2002-05-24,8.98,9.04,8.76,8.87,10526000.0,92941498.0,600000000.0,0.017543333333333334
29,2002-05-27,8.89,8.95,8.78,8.91,5439444.0,48160843.0,600000000.0,0.00906574
30,2002-05-28,8.91,8.99,8.9,8.92,5607677.0,50176390.0,600000000.0,0.009346128333333334
31,2002-05-29,8.92,8.94,8.62,8.67,7480150.0,65398179.0,600000000.0,0.012466916666666666
32,2002-05-30,8.66,8.78,8.52,8.75,13179829.0,113645564.0,600000000.0,0.021966381666666666
33,2002-05-31,8.73,8.86,8.66,8.7,4669199.0,40944136.0,600000000.0,0.007781998333333333
34,2002-06-04,8.63,9.0,8.54,8.86,21315760.0,188202674.0,600000000.0,0.03552626666666667
35,2002-06-05,9.22,9.22,8.72,8.74,9149476.0,80995385.0,600000000.0,0.015249126666666666
36,2002-06-06,8.74,9.08,8.68,9.0,12530992.0,112008796.0,600000000.0,0.020884986666666668
37,2002-06-07,9.01,9.06,8.9,8.98,11760656.0,105772506.0,600000000.0,0.019601093333333333
38,2002-06-10,8.98,9.06,8.93,8.99,4910142.0,44206174.0,600000000.0,0.00818357
39,2002-06-11,8.99,9.01,8.92,8.94,2848153.0,25522714.0,600000000.0,0.004746921666666667
40,2002-06-12,9.0,9.0,8.8,8.87,3036753.0,26911353.0,600000000.0,0.005061255
41,2002-06-13,8.87,8.87,8.75,8.76,2861462.0,25179530.0,600000000.0,0.004769103333333333
42,2002-06-14,8.75,8.75,8.67,8.68,2939500.0,25580232.0,600000000.0,0.004899166666666666
43,2002-06-17,8.65,8.66,8.58,8.66,3036771.0,26183428.0,600000000.0,0.005061285
44,2002-06-18,8.66,8.85,8.65,8.81,5317574.0,46624766.0,600000000.0,0.008862623333333333
45,2002-06-19,8.81,8.82,8.65,8.68,2774519.0,24170101.0,600000000.0,0.0046241983333333335
46,2002-06-20,8.68,8.83,8.67,8.73,4108300.0,36035751.0,600000000.0,0.006847166666666666
47,2002-06-21,8.75,9.09,8.72,8.97,14947363.0,133912680.0,600000000.0,0.024912271666666666
48,2002-06-24,9.87,9.87,9.51,9.87,95065027.0,934303729.0,600000000.0,0.15844171166666668
49,2002-06-25,9.99,10.85,9.81,10.45,149514953.0,1563269915.0,600000000.0,0.24919158833333332
50,2002-06-26,10.35,10.6,10.15,10.23,41963672.0,436232331.0,600000000.0,0.06993945333333333
51,2002-06-27,10.23,10.6,10.18,10.5,41442717.0,431029640.0,600000000.0,0.069071195
52,2002-06-28,10.51,11.55,10.51,11.55,156015369.0,1785125038.0,600000000.0,0.260025615
53,2002-07-01,11.7,11.84,11.4,11.58,90583632.0,1050421243.0,600000000.0,0.15097272
54,2002-07-02,11.55,11.56,11.18,11.44,37955268.0,431511885.0,600000000.0,0.06325878
55,2002-07-03,11.4,11.69,11.31,11.47,25683720.0,295008712.0,600000000.0,0.0428062
56,2002-07-04,11.5,11.58,10.94,11.11,41951694.0,469443695.0,600000000.0,0.06991949
57,2002-07-05,11.0,11.34,10.92,11.3,33747227.0,375133047.0,600000000.0,0.05624537833333333
58,2002-07-08,11.19,11.7,11.19,11.34,41931594.0,482217366.0,600000000.0,0.06988599
59,2002-07-09,11.35,11.73,11.35,11.65,53912874.0,625233348.0,600000000.0,0.08985479
60,2002-07-10,11.65,11.92,11.29,11.31,103668559.0,1203566183.0,653655400.0,0.1585981833853128
61,2002-07-11,11.22,11.4,11.15,11.19,31305363.0,352569995.0,653655400.0,0.04789276276154071
62,2002-07-12,11.19,11.25,10.98,11.03,32493660.0,359020954.0,653655400.0,0.04971068853710992
63,2002-07-15,11.0,11.05,10.75,10.84,23448328.0,254515311.0,653655400.0,0.0358726142245593
64,2002-07-16,10.87,11.05,10.79,10.86,18594602.0,203553086.0,653655400.0,0.028447102249901095
65,2002-07-17,10.88,11.04,10.79,11.03,8479998.0,92305411.0,653655400.0,0.01297319352062264
66,2002-07-18,11.09,11.22,10.98,11.1,20092068.0,223753099.0,653655400.0,0.030738012720464024
67,2002-07-19,11.15,11.19,11.0,11.14,9684195.0,107533034.0,653655400.0,0.014815444039779982
