公告日期,送股,转增,派息,进度,除权除息日,股权登记日,红股上市日
2026-05-07,0,0,1.3,实施,2026-05-13,2026-05-12,
2025-12-09,0,0,1.195,实施,2025-12-15,2025-12-12,
2025-03-29,0,0,1.255,实施,2025-07-17,2025-07-16,
2024-12-30,0,0,1.164,实施,2025-01-08,2025-01-07,
2024-05-30,0,0,2.309,实施,2024-06-07,2024-06-06,
2023-07-10,0,0,2.222,实施,2023-07-18,2023-07-17,
2022-07-08,0,0,2.068,实施,2022-07-15,2022-07-14,
2021-06-08,0,0,1.851,实施,2021-06-17,2021-06-16,
2020-07-06,0,0,1.819,实施,2020-07-10,2020-07-09,
2019-06-11,0,0,1.739,实施,2019-06-19,2019-06-18,
2018-05-19,0,0,1.783,实施,2018-05-25,2018-05-24,
2017-07-06,0,0,1.7,实施,2017-07-13,2017-07-12,
2016-06-30,0,0,1.668,实施,2016-07-07,2016-07-06,
2015-07-03,0,0,1.82,实施,2015-07-10,2015-07-09,
2014-06-26,0,0,1.77,实施,2014-07-03,2014-07-02,
2013-06-20,0,0,1.565,实施,2013-06-28,2013-06-27,
2012-06-12,0,0,1.315,实施,2012-06-20,2012-06-19,
2011-06-10,0,0,0.54,实施,2011-06-17,2011-06-16,
2010-08-28,0,0,1.18804,预案,,,
