index,date,open,high,low,close,volume,amount,outstanding_share,turnover
0,2010-07-15,2.74,2.74,2.69,2.7,4039725056.0,10949613568.0,10310325000.0,0.39181355156117775
1,2010-07-16,2.7,2.7,2.68,2.69,1378955136.0,3707551232.0,10310325000.0,0.1337450697237963
2,2010-07-19,2.68,2.71,2.68,2.71,1146738304.0,3088010496.0,10310325000.0,0.11122232364159229
3,2010-07-20,2.7,2.71,2.69,2.71,844226048.0,2278829312.0,10310325000.0,0.08188161362517671
4,2010-07-21,2.7,2.71,2.69,2.71,622094336.0,1678918016.0,10310325000.0,0.06033702487554951
5,2010-07-22,2.7,2.75,2.69,2.73,1065122560.0,2895028992.0,10310325000.0,0.10330640013772602
6,2010-07-23,2.73,2.84,2.73,2.81,1792782976.0,5001163776.0,10310325000.0,0.17388229527197252
7,2010-07-26,2.83,2.84,2.77,2.8,704693888.0,1974873472.0,10310325000.0,0.0683483680679319
8,2010-07-27,2.79,2.8,2.77,2.78,384484000.0,1070440000.0,10310325000.0,0.03729116201477645
9,2010-07-28,2.78,2.85,2.78,2.84,796917120.0,2248740096.0,10310325000.0,0.0772931134566563
10,2010-07-29,2.84,2.88,2.81,2.83,894588416.0,2542991616.0,10310325000.0,0.08676626740670153
11,2010-07-30,2.82,2.82,2.77,2.79,510624544.0,1423707776.0,10310325000.0,0.049525552686263526
12,2010-08-02,2.78,2.81,2.77,2.8,521574624.0,1454410880.0,10310325000.0,0.050587602621643836
13,2010-08-03,2.8,2.81,2.73,2.73,566704192.0,1568202112.0,10310325000.0,0.05496472633015933
14,2010-08-04,2.73,2.75,2.7,2.73,413863456.0,1127312000.0,10310325000.0,0.04014067994946813
15,2010-08-05,2.73,2.73,2.71,2.72,335500224.0,911158976.0,10310325000.0,0.03254021808235919
16,2010-08-06,2.72,2.73,2.7,2.72,328014912.0,891315200.0,10310325000.0,0.03181421652566723
17,2010-08-09,2.72,2.73,2.7,2.72,459887584.0,1246015616.0,10310325000.0,0.044604567169318134
18,2010-08-10,2.71,2.72,2.68,2.69,506683552.0,1364669824.0,10310325000.0,0.049143315268917326
19,2010-08-11,2.69,2.7,2.68,2.69,468119360.0,1258909824.0,10310325000.0,0.045402968383634855
