,T5,HRP
2021-01-31,0.06371598,0.00950078
2021-02-28,0.03201394,-0.01659783
2021-03-31,0.05195621,-0.01168328
2021-04-30,-0.00725403,0.01546131
2021-05-31,0.02615279,0.02182629
2021-06-30,-0.03948944,0.01083348
2021-07-31,0.11371216,-0.00111971
2021-08-31,-0.03971846,0.01884812
2021-09-30,-0.04810019,-0.00101086
2021-10-31,-0.00916152,0.00566925
2021-11-30,0.09797863,0.01224718
2021-12-31,0.57656357,-0.00260861
2022-01-31,0.47044282,-0.04002795
2022-02-28,0.00961619,0.01343243
2022-03-31,0.00825829,-0.02056790
2022-04-30,-0.17632724,-0.02473027
2022-05-31,0.04604964,0.00079381
2022-06-30,0.04213742,-0.00192235
2022-07-31,0.01922400,0.00175658
2022-08-31,-0.05003068,0.00214505
2022-09-30,-0.11991523,-0.01634048
2022-10-31,0.08640044,0.00764904
2022-11-30,0.07710060,0.01989420
2022-12-31,-0.08037654,0.00077362
2023-01-31,0.13881650,0.01451457
2023-02-28,0.05612158,-0.00271483
2023-03-31,-0.01027207,0.01238154
2023-04-30,-0.03412530,0.00471407
2023-05-31,0.05885541,0.00150378
2023-06-30,0.04927155,0.01997661
2023-07-31,0.29407579,0.01610761
2023-08-31,0.01332075,-0.00642924
2023-09-30,-0.02549883,-0.02493797
2023-10-31,-0.03237034,-0.00431222
2023-11-30,0.03178745,0.02402070
2023-12-31,-0.00593659,0.01812559
2024-01-31,-0.21206250,0.00709905
2024-02-29,-0.12415677,0.01881684
2024-03-31,0.14707314,0.02569049
2024-04-30,-0.07538882,-0.00342439
2024-05-31,0.02781371,0.01198098
2024-06-30,-0.06471676,0.02096314
2024-07-31,0.02513398,-0.00137237
2024-08-31,-0.03330157,-0.00239414
2024-09-30,0.20310906,0.02717187
2024-10-31,0.10056419,0.01303566
2024-11-30,0.11792438,0.01363946
2024-12-31,-0.08237604,0.02156134
2025-01-31,0.00110838,0.00886660
2025-02-28,0.02680820,0.00773151
2025-03-31,0.01174313,0.02272777
2025-04-30,0.01633878,0.02473348
2025-05-31,0.10626447,-0.00015618
2025-06-30,0.04692725,0.00470054
2025-07-31,0.16903416,-0.00094016
2025-08-31,0.01625902,0.05687820
2025-09-30,0.01456986,0.03421931
2025-10-31,0.06606509,0.02944745
2025-11-30,0.00800410,-0.01108545
2025-12-31,-0.03417139,0.00463934
2026-01-31,0.06960784,0.05369278
2026-02-28,0.02414161,0.00312191
2026-03-31,0.00405964,-0.03609340
2026-04-30,0.09625764,0.04515821
2026-05-31,-0.11646716,0.02635708
2026-06-30,-0.14384605,0.01136556
