cagr,vol,sharpe,max_dd,t5_weight,t5_cagr,hrp_cagr
0.095755,0.062329,1.503190,-0.085751,0.000000,0.356828,0.092949
0.105253,0.061211,1.671598,-0.073779,0.030000,0.356828,0.092949
0.111525,0.061984,1.743574,-0.067485,0.050000,0.356828,0.092949
0.120843,0.065311,1.786873,-0.071139,0.080000,0.356828,0.092949
0.126993,0.068812,1.779567,-0.074486,0.100000,0.356828,0.092949
0.142157,0.081019,1.688953,-0.082872,0.150000,0.356828,0.092949
0.157014,0.096587,1.565630,-0.091283,0.200000,0.356828,0.092949
0.171560,0.114149,1.450753,-0.099718,0.250000,0.356828,0.092949
0.185793,0.132916,1.354112,-0.108177,0.300000,0.356828,0.092949
0.199710,0.152445,1.274988,-0.116659,0.350000,0.356828,0.092949
